id_atleta,sexo,edad,disciplina,subdisciplina,posicion,nivel,estatura_cm,masa_corporal_kg,imc,pct_grasa,masa_grasa_kg,masa_libre_grasa_kg,masa_muscular_kg,cintura_cm,cadera_cm,envergadura_cm,muslo_cm,brazo_contraido_cm,suma_6_pliegues,sprint_10m_s,sprint_20m_s,sprint_30m_s,salto_vertical_cm,salto_horizontal_cm,handgrip_kg,sentadilla_1rm_kg,press_banca_1rm_kg,vo2max_estimado_ml_kg_min,beep_test_nivel,cooper_12min_m,yoyo_ir1_m,t_test_s,illinois_s,rsa_6x30m_promedio_s,rsa_6x30m_fatiga_pct,sit_and_reach_cm
ATH-0011,M,27,Atletismo,Fondo,Media Maratón,Intermedio,183.34,57.76,17.18,11.47,6.63,51.13,31.81,93.44,98.09,186.46,52.69,35.07,31.4,2.143,3.709,5.71,39.86,85.93,46.07,128.44,70.01,69.73,17.23,2976.92,1700.52,11.026,17.333,13.248,3.32,18.17
ATH-0012,F,26,Atletismo,Fondo,10km,Amateur,176.14,57.38,18.49,8.96,5.14,52.24,29.24,86.91,96.04,173.68,50.55,38.84,23.41,2.235,4.081,5.864,41.76,73.5,36.15,108.59,88.77,71.76,18.0,3001.77,1698.5,10.152,16.093,12.296,4.97,18.14
ATH-0013,F,23,Atletismo,Fondo,10km,Intermedio,165.68,56.07,20.43,5.1,2.86,53.2,33.99,83.97,96.8,169.91,51.37,37.36,14.86,2.26,4.196,6.218,45.83,74.89,51.54,111.65,98.6,68.77,18.0,2964.4,1667.95,10.3,16.086,12.053,2.35,21.13
ATH-0014,M,22,Atletismo,Fondo,10km,Amateur,178.16,65.22,20.55,9.75,6.36,58.86,30.49,87.72,101.48,183.23,51.17,37.51,18.73,2.25,4.283,6.002,38.27,92.74,42.43,147.14,91.01,72.48,18.0,3155.62,1803.1,11.607,18.45,13.936,2.52,17.78
ATH-0015,M,22,Atletismo,Fondo,10km,Intermedio,175.58,60.81,19.73,10.35,6.29,54.52,35.59,85.84,94.64,175.9,58.59,33.23,23.3,2.157,3.972,5.242,34.46,30.34,41.74,130.68,89.3,70.01,17.55,2944.27,1701.6,10.685,16.949,14.077,1.59,18.58
ATH-0016,M,20,Atletismo,Fondo,Maratón,Intermedio,171.77,59.5,20.17,6.95,4.13,55.37,32.15,86.02,100.96,175.76,55.86,38.97,14.88,2.252,4.17,5.85,50.02,112.74,48.59,132.92,103.23,75.34,18.0,3101.76,1752.84,9.933,15.451,11.794,5.22,19.5
ATH-0017,M,30,Atletismo,Fondo,10km,Amateur,167.67,63.41,22.56,6.14,3.89,59.52,31.36,86.06,99.4,171.85,51.65,36.18,9.95,2.138,3.758,5.354,49.93,120.32,43.34,118.02,90.02,71.77,18.0,3079.62,1758.74,10.184,14.73,12.023,4.27,14.75
ATH-0018,M,22,Atletismo,Fondo,Media Maratón,Amateur,175.29,54.53,17.75,4.52,2.46,52.06,31.93,82.54,92.44,174.05,51.96,41.7,13.99,2.172,4.175,6.484,47.46,72.06,43.69,132.87,84.68,73.49,18.0,2980.07,1805.26,10.454,16.241,16.558,1.28,24.69
ATH-0019,M,28,Atletismo,Fondo,Maratón,Profesional,172.74,63.53,21.29,8.77,5.57,57.96,34.62,87.17,97.96,175.25,51.78,36.72,22.18,2.199,4.521,6.223,51.61,83.04,51.25,122.2,80.67,80.83,18.0,3399.11,1959.43,10.342,16.636,14.159,2.79,20.18
ATH-0020,M,30,Atletismo,Fondo,Media Maratón,Profesional,167.86,61.53,21.84,5.93,3.65,57.88,36.77,83.79,100.42,170.2,49.31,36.16,20.02,1.975,3.85,5.73,60.76,92.64,56.81,130.94,81.74,70.96,18.0,3008.62,1632.01,10.196,16.853,11.48,1.0,23.32
ATH-0021,M,27,Atletismo,Fondo,10km,Intermedio,163.94,61.68,22.95,5.83,3.6,58.09,30.12,82.73,90.68,169.45,55.97,34.52,15.45,2.154,4.167,5.924,39.61,84.38,47.44,103.16,62.6,73.12,17.17,3087.85,1748.64,10.458,15.502,14.398,1.3,24.17
ATH-0022,M,22,Atletismo,Fondo,Maratón,Amateur,166.9,64.6,23.19,6.97,4.5,60.09,32.22,82.59,94.33,176.06,54.2,35.95,16.64,2.318,4.341,6.393,49.36,79.24,52.27,132.76,52.52,70.99,18.0,3172.81,1696.01,9.858,14.687,15.017,3.67,23.37
ATH-0023,M,25,Atletismo,Fondo,10km,Amateur,168.98,70.22,24.59,4.95,3.48,66.74,40.76,84.98,93.05,174.21,60.39,39.97,13.17,2.005,3.552,5.159,52.25,92.2,51.61,108.72,102.39,75.61,18.0,3237.3,1746.3,10.247,15.897,12.373,1.0,25.06
OUT-707,M,23,Atletismo,Fondo,Maratón,Intermedio,173.05,77.08,26.41,6.51,18.85,71.77,55.43,83.52,113.86,209.76,50.42,44.9,4.24,2.123,1.995,4.048,38.22,76.63,61.76,216.76,142.82,38.36,13.77,3461.14,1688.02,13.207,21.639,13.626,1.09,31.78
ATH-0025,M,20,Atletismo,Fondo,Media Maratón,Profesional,177.16,61.0,19.43,9.42,5.75,55.25,33.32,88.19,102.46,181.69,57.21,36.74,25.13,2.256,4.272,6.399,41.43,50.46,48.14,154.29,68.16,75.99,18.0,3247.98,1804.18,10.745,15.385,12.541,5.37,22.7
ATH-0026,F,25,Atletismo,Fondo,10km,Amateur,169.3,56.09,19.57,7.19,4.03,52.05,31.71,88.92,100.76,175.64,57.35,38.04,23.38,2.118,4.052,5.966,51.37,69.41,48.69,118.18,102.68,70.63,17.43,2973.11,1675.55,10.045,16.051,14.124,3.96,16.92
ATH-0027,M,19,Atletismo,Fondo,10km,Élite,169.53,50.05,17.41,4.87,2.44,47.61,26.16,85.86,94.83,174.85,57.3,34.46,16.43,2.172,3.878,5.62,50.06,95.13,40.46,130.53,87.85,73.4,18.0,3140.86,1777.12,10.035,16.798,11.834,1.0,23.27
ATH-0028,M,28,Atletismo,Fondo,Maratón,Amateur,177.95,62.64,19.78,5.01,3.14,59.5,34.08,88.03,101.19,191.87,55.46,34.75,11.8,2.026,3.816,5.592,55.39,93.92,39.23,125.53,81.01,75.68,18.0,3212.66,1830.35,10.27,15.794,13.463,2.66,23.28
ATH-0029,M,22,Atletismo,Fondo,Maratón,Profesional,173.6,55.7,18.48,4.9,2.73,52.97,29.41,87.03,99.32,178.28,57.12,34.2,11.74,2.214,4.113,5.879,44.27,64.8,51.77,122.93,84.21,67.37,17.86,2778.16,1579.44,10.167,16.1,14.698,6.38,22.33
ATH-0030,M,24,Atletismo,Fondo,10km,Intermedio,173.52,49.3,16.37,4.0,1.97,47.33,28.4,81.08,101.07,181.44,55.19,38.17,9.06,2.057,3.88,5.24,46.63,83.94,44.83,113.81,76.56,79.89,18.0,3521.97,1877.6,10.379,16.813,11.496,5.1,23.85
OUT-1120,M,25,Atletismo,Fondo,Maratón,Élite,149.73,60.64,16.9,26.21,23.18,98.39,34.58,87.2,91.55,166.94,43.93,45.2,73.28,1.511,3.899,4.953,54.39,52.91,64.3,181.63,79.03,36.85,17.26,2886.86,1358.8,12.207,17.196,6.22,6.34,14.6
ATH-0032,M,22,Atletismo,Fondo,10km,Intermedio,171.26,63.2,21.55,5.39,3.41,59.79,35.12,90.76,99.72,180.25,53.61,34.11,10.14,2.254,4.232,6.581,55.23,85.76,49.4,126.47,98.82,77.32,18.0,3154.21,1947.46,9.952,15.379,14.6,1.78,22.58
ATH-0033,M,26,Atletismo,Fondo,Maratón,Intermedio,172.03,65.72,22.21,5.25,3.45,62.27,38.1,84.18,109.95,179.36,53.76,34.6,12.7,2.03,3.464,5.192,52.05,96.07,52.78,109.64,90.75,82.0,18.0,3323.84,2060.65,10.555,16.378,13.352,4.07,23.48
OUT-462,F,22,Atletismo,Fondo,Media Maratón,Amateur,188.53,75.8,25.24,18.89,2.1,55.63,47.61,74.95,115.58,172.56,43.84,32.54,39.5,1.883,2.374,6.539,67.26,136.31,47.65,135.31,54.74,68.37,10.73,2046.0,1434.16,8.966,18.343,11.224,8.33,11.14
OUT-823,F,27,Atletismo,Fondo,Maratón,Amateur,147.38,75.13,22.04,15.59,25.0,60.68,32.45,88.33,100.84,198.2,47.94,38.22,25.19,1.555,2.798,4.16,38.28,65.71,62.0,200.64,40.14,69.9,8.32,1979.91,1409.83,11.986,14.959,10.419,8.71,15.52
ATH-0036,F,18,Atletismo,Fondo,Media Maratón,Profesional,176.59,66.51,21.33,5.1,3.39,63.12,34.43,79.06,97.11,178.17,57.2,36.65,15.2,2.112,3.906,5.663,56.13,98.08,49.52,125.93,90.85,75.06,18.0,3204.75,1736.97,10.493,16.756,13.123,3.75,20.56
ATH-0037,M,24,Atletismo,Fondo,Maratón,Profesional,166.49,54.66,19.72,10.17,5.56,49.1,31.26,86.02,98.49,169.43,54.68,39.47,23.76,2.129,3.763,5.008,39.55,98.79,44.41,94.4,95.74,67.08,16.37,2645.39,1576.31,10.991,18.245,15.422,3.05,13.96
ATH-0038,M,31,Atletismo,Fondo,Maratón,Élite,169.0,61.25,21.45,6.28,3.85,57.4,31.65,87.8,99.64,173.08,48.36,36.82,20.88,2.169,4.096,5.729,51.38,72.92,47.81,120.09,82.44,76.71,18.0,3358.42,1744.63,10.11,15.987,15.477,2.16,22.37
ATH-0039,F,19,Atletismo,Fondo,10km,Intermedio,167.88,64.9,23.03,4.0,2.6,62.3,36.18,90.02,97.74,173.29,57.36,38.74,12.42,2.036,3.547,5.13,54.13,88.57,49.89,140.01,86.91,69.98,17.18,2971.17,1623.75,9.912,15.691,14.096,2.73,25.28
ATH-0040,M,21,Atletismo,Fondo,Maratón,Élite,180.33,62.23,19.14,8.17,5.09,57.15,30.41,81.4,93.32,183.53,56.78,32.52,27.87,2.108,4.151,6.204,39.9,85.82,46.59,142.02,82.13,67.25,15.67,2835.42,1615.7,11.003,18.529,13.525,2.87,22.01
ATH-0041,M,26,Atletismo,Fondo,Maratón,Amateur,185.52,61.22,17.79,9.22,5.64,55.58,33.36,89.18,98.83,183.75,55.52,34.74,31.43,2.168,3.987,6.148,48.72,71.94,48.84,125.11,66.03,69.47,17.07,2991.88,1705.17,10.091,15.387,13.771,5.72,25.17
ATH-0042,M,24,Atletismo,Fondo,Media Maratón,Intermedio,169.22,62.14,21.7,4.85,3.02,59.12,34.6,87.81,95.77,177.77,56.21,31.33,15.24,1.892,3.41,4.73,49.8,90.13,51.63,127.98,116.32,76.94,18.0,3316.91,1797.8,10.184,16.832,10.606,4.01,19.19
ATH-0043,M,25,Atletismo,Fondo,Maratón,Intermedio,171.0,63.23,21.62,7.16,4.53,58.7,35.78,90.13,92.39,177.66,52.43,35.99,17.68,2.045,3.87,5.743,40.93,44.01,47.34,115.46,106.79,68.11,17.84,2946.46,1558.99,10.184,16.451,14.768,5.17,19.33
ATH-0044,F,25,Atletismo,Fondo,10km,Intermedio,177.05,61.62,19.66,7.8,4.8,56.81,29.01,77.46,101.83,182.58,53.29,41.2,16.27,2.383,4.337,5.843,48.74,71.67,47.79,106.3,86.2,74.91,18.0,3113.93,1820.43,10.41,16.136,14.59,6.17,29.77
ATH-0045,M,26,Atletismo,Fondo,Media Maratón,Intermedio,167.76,57.77,20.53,7.24,4.18,53.59,31.37,90.57,96.07,177.0,52.05,40.31,15.26,2.147,3.93,5.633,56.43,87.57,48.41,141.8,81.65,74.53,18.0,3203.3,1678.11,9.866,14.869,14.629,3.29,22.68
ATH-0046,F,28,Atletismo,Fondo,10km,Amateur,177.19,53.49,17.04,5.85,3.13,50.35,30.02,86.17,98.7,179.66,53.94,36.77,21.69,2.118,3.798,5.502,35.47,61.28,51.17,130.08,60.81,74.14,18.0,3219.92,1861.95,10.576,16.876,12.273,1.53,21.61
ATH-0047,M,25,Atletismo,Fondo,10km,Intermedio,171.87,60.98,20.64,9.2,5.61,55.37,29.92,87.55,87.31,176.58,57.03,36.0,20.7,2.236,4.231,6.472,44.45,94.88,45.97,106.02,74.89,64.46,15.27,2708.22,1450.57,10.873,17.476,14.341,2.61,20.55
ATH-0048,M,23,Atletismo,Fondo,10km,Élite,161.54,62.29,23.87,6.37,3.97,58.32,35.07,88.93,99.87,166.9,56.12,37.31,16.6,2.208,4.131,5.826,49.71,85.4,53.17,101.15,88.97,77.34,18.0,3259.84,1855.05,10.136,17.289,13.084,1.0,20.67
ATH-0049,M,26,Atletismo,Fondo,10km,Intermedio,164.2,62.23,23.08,5.49,3.41,58.82,28.71,78.49,95.99,167.76,51.16,32.78,18.37,2.293,4.399,6.309,41.13,69.18,36.7,145.8,63.76,73.07,18.0,3102.03,1784.73,10.754,17.297,11.483,1.0,26.51
ATH-0050,M,31,Atletismo,Fondo,Media Maratón,Amateur,169.97,66.76,23.11,4.0,2.67,64.09,36.85,88.17,92.18,172.37,60.44,36.82,7.98,2.069,3.584,5.396,57.07,90.67,46.68,118.73,80.47,75.36,18.0,3241.87,1796.38,10.007,14.701,11.283,1.0,20.94
ATH-0051,F,23,Atletismo,Fondo,Maratón,Amateur,179.34,67.65,21.04,4.0,2.71,64.95,41.34,92.93,96.23,187.86,55.83,31.12,14.56,2.022,3.558,5.013,48.28,69.75,58.05,145.24,86.59,73.91,18.0,3201.94,1746.19,10.066,16.266,11.537,3.55,23.27
ATH-0052,F,20,Atletismo,Fondo,10km,Amateur,166.64,61.48,22.14,7.54,4.64,56.84,32.66,81.81,95.78,172.59,52.59,29.57,20.32,2.192,3.978,5.662,46.44,98.86,48.67,113.12,71.66,66.35,17.06,2626.34,1585.11,10.576,17.89,15.44,3.63,18.6
ATH-0053,F,28,Atletismo,Fondo,Media Maratón,Amateur,168.8,61.52,21.59,6.81,4.19,57.33,31.6,85.27,100.46,175.97,53.62,35.03,19.12,2.163,4.169,5.757,42.73,79.55,42.72,108.59,98.7,69.19,17.68,2912.41,1605.35,10.814,17.342,11.32,4.99,11.75
ATH-0054,F,23,Atletismo,Fondo,10km,Intermedio,173.27,64.87,21.61,9.22,5.98,58.89,34.0,86.9,99.16,175.61,53.06,41.97,24.35,2.162,3.787,5.615,39.41,66.08,48.38,129.74,77.45,75.13,18.0,3198.42,1819.57,11.185,18.122,11.494,1.21,20.23
ATH-0055,M,18,Atletismo,Fondo,Maratón,Intermedio,161.99,64.13,24.44,9.83,6.3,57.83,33.77,88.07,93.67,169.54,55.38,40.19,24.16,2.235,4.007,5.524,45.57,106.07,51.6,138.81,94.87,77.21,18.0,3265.83,1859.2,10.788,15.707,12.318,3.07,21.13
ATH-0056,F,27,Atletismo,Fondo,Media Maratón,Intermedio,173.79,59.79,19.79,6.39,3.82,55.97,34.47,87.0,99.59,176.84,50.79,38.93,19.37,2.176,4.24,6.358,44.56,38.59,43.83,140.52,76.41,75.83,18.0,3220.21,1748.79,10.325,17.27,14.885,8.83,22.22
ATH-0057,M,21,Atletismo,Fondo,Media Maratón,Intermedio,162.74,65.3,24.65,9.37,6.12,59.18,34.63,84.93,91.72,168.42,55.65,36.12,27.36,2.178,4.108,5.707,51.01,107.14,49.09,136.94,75.91,74.25,18.0,3129.74,1852.68,11.164,17.164,12.85,6.82,27.64
ATH-0058,M,23,Atletismo,Fondo,Maratón,Élite,175.4,61.27,19.91,5.6,3.43,57.84,35.31,85.65,93.98,187.61,57.35,40.02,17.29,2.304,4.424,6.263,49.52,65.54,58.26,117.6,84.45,80.92,18.0,3394.89,1942.55,10.351,15.517,13.648,7.37,23.86
OUT-006,M,25,Atletismo,Fondo,Media Maratón,Amateur,166.85,65.98,23.64,10.71,2.91,94.01,28.15,94.06,103.46,158.71,62.56,31.56,35.95,2.053,3.143,6.63,55.21,110.94,38.91,139.73,112.9,68.33,14.1,3148.15,1565.17,10.778,22.641,4.908,10.13,30.3
ATH-0060,M,24,Atletismo,Fondo,Maratón,Intermedio,166.35,64.17,23.19,6.55,4.21,59.96,32.98,86.79,95.74,172.47,55.43,33.02,16.48,2.188,4.314,6.198,51.32,106.85,44.19,132.79,67.72,75.77,18.0,3141.3,1771.26,9.915,15.906,15.626,3.02,30.62
ATH-0061,M,26,Atletismo,Fondo,Media Maratón,Élite,173.64,60.49,20.06,10.95,6.62,53.87,28.22,87.72,102.84,183.54,55.98,34.27,31.77,2.34,4.112,6.178,46.1,56.19,33.82,93.63,75.38,67.26,15.87,2791.27,1466.94,10.207,15.693,16.993,5.43,24.0
ATH-0062,M,22,Atletismo,Fondo,Media Maratón,Amateur,176.76,62.47,19.99,4.0,2.5,59.97,35.68,82.81,98.07,180.05,56.03,32.12,13.32,2.03,3.723,5.259,50.02,108.57,48.74,103.91,72.27,67.67,17.4,2984.88,1658.22,10.846,17.839,14.511,3.02,20.47
ATH-0063,F,26,Atletismo,Fondo,Maratón,Amateur,174.26,63.49,20.91,7.15,4.54,58.95,28.36,89.13,99.74,181.2,57.41,41.37,20.67,2.192,4.011,5.62,44.16,77.42,48.58,119.68,96.53,72.95,18.0,3139.2,1741.81,10.838,16.253,12.878,2.37,19.21
ATH-0064,M,22,Atletismo,Fondo,Maratón,Élite,173.25,66.09,22.02,5.26,3.48,62.61,31.89,84.24,99.74,175.56,53.83,37.27,12.92,2.192,4.012,5.814,44.01,67.16,45.49,114.75,73.67,75.08,18.0,3153.06,1811.97,10.273,16.487,12.583,6.02,18.22
ATH-0065,M,26,Atletismo,Fondo,Media Maratón,Intermedio,173.33,65.74,21.88,6.25,4.11,61.63,32.3,79.2,96.2,177.28,51.84,33.76,18.01,2.256,3.986,5.766,48.11,89.93,57.91,107.51,90.14,82.0,18.0,3451.21,1998.17,10.082,15.373,13.306,4.97,27.46
ATH-0066,M,26,Atletismo,Fondo,Media Maratón,Intermedio,174.29,63.34,20.85,6.15,3.89,59.44,36.18,87.15,94.46,185.07,55.99,35.97,10.65,2.029,3.838,5.7,45.1,89.02,63.49,103.78,77.76,76.55,18.0,3255.18,1969.65,10.823,17.038,9.581,5.51,32.44
ATH-0067,M,20,Atletismo,Fondo,Maratón,Amateur,174.69,48.96,16.04,7.18,3.52,45.44,23.65,86.54,96.82,180.88,57.14,35.14,20.67,2.175,3.841,5.306,48.52,122.93,49.25,99.8,83.82,73.26,17.64,3047.38,1797.0,9.806,16.664,10.943,1.05,24.19
ATH-0068,F,28,Atletismo,Fondo,Maratón,Intermedio,169.63,63.22,21.97,10.37,6.55,56.66,33.93,86.34,102.22,179.5,53.54,39.62,25.13,2.2,3.87,5.659,38.55,66.51,44.38,149.33,72.73,66.85,17.17,2928.44,1609.59,11.475,18.529,14.132,3.29,20.36
ATH-0069,M,21,Atletismo,Fondo,Media Maratón,Intermedio,175.93,63.99,20.67,11.76,7.52,56.47,30.42,80.57,98.36,180.84,59.23,41.42,32.41,2.364,3.985,6.027,37.88,80.88,45.97,130.92,72.45,69.47,17.31,2960.08,1609.53,12.193,19.547,11.889,5.57,26.79
ATH-0070,F,27,Atletismo,Fondo,Media Maratón,Amateur,167.21,65.0,23.25,8.64,5.62,59.39,34.1,83.22,100.75,176.31,55.87,38.76,22.38,2.172,3.908,5.463,47.99,88.19,45.52,149.72,77.1,76.8,18.0,3136.51,1839.16,10.6,16.108,11.465,1.36,26.28
ATH-0071,F,25,Atletismo,Fondo,Media Maratón,Intermedio,178.55,57.22,17.95,4.55,2.6,54.62,31.54,84.21,97.06,184.09,57.31,37.75,12.33,2.218,4.125,6.019,51.68,98.35,44.96,116.11,76.66,74.11,18.0,3019.53,1774.87,10.429,16.41,13.592,2.61,20.35
ATH-0072,M,31,Atletismo,Fondo,Maratón,Amateur,176.69,51.39,16.46,6.56,3.37,48.02,27.54,83.59,91.84,182.47,50.72,36.45,13.16,2.175,4.067,5.693,39.41,67.16,45.93,134.09,56.18,67.98,16.56,2779.06,1639.5,10.73,16.617,11.461,1.0,22.71
OUT-871,M,23,Atletismo,Fondo,Media Maratón,Intermedio,168.92,83.64,36.89,13.29,13.19,58.6,29.19,99.32,108.13,159.85,61.75,39.1,65.75,1.404,2.304,4.472,53.29,118.88,69.12,207.69,150.37,56.02,11.01,3025.78,1088.5,11.807,17.422,8.353,7.76,35.19
ATH-0074,F,22,Atletismo,Fondo,10km,Amateur,175.08,55.88,18.23,5.98,3.34,52.53,27.18,86.24,102.52,181.6,55.58,35.86,18.92,2.095,3.775,5.812,44.15,85.24,36.94,140.23,78.04,68.15,17.9,2740.23,1586.71,10.096,16.363,11.75,6.59,21.74
OUT-511,F,23,Atletismo,Fondo,Maratón,Amateur,185.23,100.43,38.4,8.06,25.54,100.92,62.16,101.32,115.01,201.98,49.76,40.77,5.97,2.299,4.412,6.779,26.29,72.54,61.25,76.84,63.27,44.11,14.21,2174.02,919.76,12.045,17.567,3.674,13.41,22.47
ATH-0076,F,22,Atletismo,Fondo,Media Maratón,Amateur,162.64,59.11,22.35,6.82,4.03,55.07,33.17,81.51,95.8,163.0,56.2,35.5,14.45,2.126,3.832,5.615,48.07,56.47,48.93,120.7,66.7,68.65,18.0,2868.55,1717.02,10.666,16.746,12.67,5.51,26.01
ATH-0077,F,27,Atletismo,Fondo,Maratón,Amateur,177.65,56.86,18.02,8.93,5.08,51.79,31.44,90.65,101.66,182.85,56.48,34.77,21.71,2.096,4.186,6.141,47.63,87.35,53.77,121.35,68.74,73.63,18.0,3060.55,1630.76,10.198,16.41,12.02,2.76,27.29
ATH-0078,M,18,Atletismo,Fondo,10km,Profesional,179.06,63.75,19.88,8.33,5.31,58.44,34.09,88.12,94.41,184.9,52.27,33.39,24.97,2.061,3.629,5.289,44.94,68.52,51.71,129.41,79.29,74.79,18.0,3176.49,1845.14,10.205,15.715,12.023,3.53,26.72
ATH-0079,M,19,Atletismo,Fondo,Maratón,Amateur,181.03,65.08,19.86,5.47,3.56,61.52,36.31,87.65,95.61,192.38,55.86,35.59,14.57,2.065,3.704,5.325,50.42,86.41,49.7,115.25,86.17,80.47,18.0,3594.39,1936.78,10.241,15.452,10.309,3.63,26.32
ATH-0080,M,19,Atletismo,Fondo,Media Maratón,Intermedio,172.72,64.78,21.72,8.48,5.49,59.29,32.56,87.43,97.71,170.1,58.04,32.68,22.57,2.055,3.802,5.398,40.92,48.64,50.04,116.52,82.88,71.64,18.0,2966.44,1741.64,10.653,17.405,11.041,5.45,29.13
OUT-374,F,27,Atletismo,Fondo,10km,Amateur,183.19,112.53,37.81,4.77,9.89,42.13,36.28,86.24,95.68,185.77,66.41,33.65,78.0,1.462,3.957,4.705,37.41,129.19,39.85,101.87,91.37,79.2,16.13,2084.42,1191.21,11.77,15.207,6.924,12.25,15.83
ATH-0082,M,30,Atletismo,Fondo,10km,Intermedio,165.46,58.46,21.35,4.0,2.34,56.12,33.48,83.48,93.82,173.9,52.54,35.73,8.62,2.119,3.927,5.662,52.65,54.37,53.16,122.9,87.01,76.86,18.0,3227.58,1828.88,9.722,14.801,11.075,4.01,22.44
ATH-0083,M,23,Atletismo,Fondo,Media Maratón,Profesional,166.01,54.37,19.73,5.91,3.21,51.15,29.06,87.21,96.58,173.27,60.35,36.39,16.97,2.093,3.626,5.431,45.11,87.6,48.69,122.5,64.09,71.48,18.0,2969.0,1706.41,10.399,16.595,11.78,3.58,25.4
ATH-0084,M,23,Atletismo,Fondo,Media Maratón,Amateur,171.85,60.05,20.34,5.72,3.43,56.62,32.95,87.23,100.05,177.53,53.8,36.58,19.99,2.098,3.899,5.875,54.47,105.93,38.49,135.73,89.3,69.57,15.94,2878.66,1562.0,9.777,15.451,16.298,1.45,25.12
OUT-174,M,24,Atletismo,Fondo,Media Maratón,Profesional,182.57,107.63,40.92,16.26,11.01,61.74,42.41,83.68,101.8,192.18,45.84,33.2,74.52,1.601,4.584,4.47,26.95,100.59,50.96,106.59,122.44,50.37,17.59,1840.13,615.49,9.18,22.598,15.51,9.09,37.45
ATH-0086,M,28,Atletismo,Fondo,Maratón,Amateur,167.39,64.16,22.9,4.0,2.57,61.6,36.85,81.54,95.32,178.94,53.51,37.23,12.51,2.192,3.944,5.521,53.04,110.9,53.64,146.39,68.06,78.08,18.0,3311.19,1857.66,10.092,17.187,12.486,4.62,23.11
